year,metric,delta,abs_delta_robust_z,is_change_point
1772,amount_sum_real,5578.3837,0.7176644072897497,False
1877,data_rows_per_page,-3.4559999999999995,0.7053076124567478,False
1706,data_rows_per_page,-3.429000000000002,0.6927044982698978,False
1732,data_rows_per_page,-3.429000000000002,0.6927044982698978,False
1789,amount_median,-2.1833333333333336,0.6923085808580853,False
1755,entry_ratio,-0.019000000000000017,0.6920194805194934,False
1892,entry_ratio,0.019000000000000017,0.6920194805194934,False
1761,n_data_rows,35.0,0.6863333333333334,False
1816,data_rows_per_page,3.400000000000002,0.6791678200692057,False
1767,amount_sum,8808.584375,0.674547701226597,False
1871,amount_sum,-8805.534375000003,0.6740332658988791,False
1804,data_rows_per_page,3.3889999999999993,0.6740332179930798,False
1829,amount_sum_real,-5416.1931,0.6721648421343019,False
1853,amount_sum,8658.39166666667,0.6492150995438577,False
1830,amount_median,2.122395833333332,0.6489001650165003,False
1735,n_data_rows,-34.0,0.639,False
1830,n_data_rows,-34.0,0.639,False
1753,amount_median,2.104166666666668,0.6359147414741476,False
1878,data_rows_per_page,3.306000000000001,0.6352903114186861,False
1899,entry_ratio,-0.018299999999999983,0.630701298701308,False
1771,entry_ratio,0.018199999999999994,0.6219415584415686,False
1868,entry_ratio,0.018199999999999994,0.6219415584415686,False
1741,amount_sum,-8467.541666666664,0.6170249414143365,False
1781,amount_sum_real,-5192.3217,0.609361872352198,False
1896,amount_sum_real,-5176.723100000003,0.6049859743837974,False
1772,amount_median,-2.0583333333333345,0.6032656765676571,False
1769,amount_sum,-8385.496354166666,0.6031865783901768,False
1845,data_rows_per_page,-3.2250000000000014,0.5974809688581326,False
1864,amount_median,-2.0458333333333334,0.5943613861386133,False
1814,amount_sum_real,5135.2428,0.5933494454325657,False
1737,n_data_rows,33.0,0.5916666666666667,False
1866,n_data_rows,33.0,0.5916666666666667,False
1762,amount_median,2.0406250000000004,0.5906512651265123,False
1770,amount_median,2.033333333333334,0.585457095709571,False
1878,amount_sum_real,5095.004499999999,0.5820613365495941,False
1843,entry_ratio,0.017699999999999938,0.5781428571428621,False
1868,amount_sum_real,-5081.006999999998,0.5781345974952751,False
1853,amount_sum_real,5037.498,0.5659289543794083,False
1704,data_rows_per_page,-3.1430000000000007,0.5592048442906583,False
1810,amount_median,1.9906249999999996,0.5550341034103402,False
1778,amount_sum_real,-4998.401699999999,0.554961212419104,False
1799,data_rows_per_page,-3.1240000000000023,0.5503359861591711,False
1827,n_data_rows,32.0,0.5443333333333333,False
1730,data_rows_per_page,-3.110999999999997,0.5442678200692033,False
1702,amount_sum_real,-4948.0069,0.5408238858040244,False
1743,amount_sum_real,-4946.3917,0.5403707713964133,False
1877,entry_ratio,0.017199999999999993,0.5343441558441651,False
1776,amount_sum_real,4919.3369999999995,0.5327810770157826,False
1833,entry_ratio,0.017100000000000004,0.5255844155844257,False
1813,amount_sum_real,-4886.1392,0.5234680498482556,False
1808,amount_sum,-7899.293749999997,0.5211800878944493,False
1792,n_data_rows,-31.5,0.5206666666666667,False
1741,amount_median,1.9406249999999998,0.5194169416941689,False
1855,entry_ratio,0.017000000000000015,0.5168246753246865,False
1755,data_rows_per_page,3.0420000000000016,0.5120598615916967,False
1768,amount_sum,-7793.001041666668,0.5032519815844423,False
1807,entry_ratio,-0.016599999999999948,0.48178571428571915,False
1757,amount_median,1.8833333333333329,0.4786056105610553,False
1827,amount_sum,-7643.947916666664,0.4781115903690937,False
1870,amount_median,1.8791666666666664,0.4756375137513745,False
1870,amount_sum_real,4668.704599999997,0.4624708049416528,False
1839,data_rows_per_page,2.929000000000002,0.45931349480968997,False
1842,n_data_rows,-30.0,0.44966666666666666,False
1850,n_data_rows,30.0,0.44966666666666666,False
1860,n_data_rows,30.0,0.44966666666666666,False
1834,data_rows_per_page,-2.897000000000002,0.4443764705882367,False
1889,amount_median,-1.8333333333333286,0.44298844884488064,False
1896,amount_sum,-7377.129166666651,0.4331079867305223,False
1861,amount_median,-1.8166666666666664,0.43111606160616,False
1718,data_rows_per_page,-2.8569999999999993,0.4257051903114188,False
1827,amount_median,-1.8031250000000014,0.421469746974698,False
1721,entry_ratio,-0.015899999999999914,0.42046753246753377,False
1726,entry_ratio,0.015899999999999914,0.42046753246753377,False
1838,amount_median,-1.8000000000000007,0.41924367436743676,False
1719,entry_ratio,0.015800000000000036,0.4117077922078041,False
1772,amount_sum,7240.177083333332,0.4100086457891192,False
1822,amount_median,1.779166666666665,0.40440319031903027,False
1725,entry_ratio,-0.015699999999999936,0.402948051948055,False
1725,n_data_rows,-29.0,0.4023333333333333,False
1733,n_data_rows,29.0,0.4023333333333333,False
1806,n_data_rows,-29.0,0.4023333333333333,False
1821,n_data_rows,29.0,0.4023333333333333,False
1863,n_data_rows,29.0,0.4023333333333333,False
1834,amount_sum,-7175.576041666674,0.3991125611856011,False
1741,data_rows_per_page,-2.8000000000000043,0.39909861591695744,False
1855,data_rows_per_page,2.8000000000000007,0.3990986159169558,False
1706,entry_ratio,0.015600000000000058,0.39418831168832535,False
1781,amount_sum,-7126.112499999997,0.39076967814710784,False
1774,amount_median,1.7583333333333346,0.38956270627062756,False
1871,amount_sum_real,-4398.451599999997,0.3866563373833896,False
1742,amount_median,-1.7406249999999996,0.3769482948294823,False
1738,data_rows_per_page,2.75,0.3757595155709347,False
1865,data_rows_per_page,2.75,0.3757595155709347,False
1750,amount_median,1.7375000000000003,0.37472222222222196,False
1812,amount_sum,7003.477083333331,0.37008509101176806,False
1871,entry_ratio,0.015300000000000091,0.3679090909091073,False
1785,amount_sum_real,4313.750099999999,0.36289490226930754,False
