year,rank,term,tfidf
1814,11,rectory,0.1227356814293578
1814,12,rectori,0.12124540038406627
1814,13,dno rectori,0.12005678217014763
1814,14,money,0.11771707493321851
1814,15,ad,0.1155850171038538
1815,1,1815,0.33686848646153345
1815,2,gr,0.3188724337842375
1815,3,1814,0.2336953439539043
1815,4,rectory,0.16582809638862636
1815,5,augment,0.15049486280141955
1815,6,kidlington,0.14854488179885283
1815,7,acc,0.12848546091012758
1815,8,dno rectori,0.12165647805490655
1815,9,money,0.1192855954027214
1815,10,mr,0.11357435297005422
1815,11,1816,0.11228949548717782
1815,12,downes,0.1084356121777817
1815,13,ut supra,0.10124123518842341
1815,14,years,0.10115778770487903
1815,15,newington,0.09955625503386907
1816,1,mr,0.33547505642971337
1816,2,year,0.2549549652965173
1816,3,1816,0.2456887808957899
1816,4,rectory,0.1995570152379382
1816,5,1815,0.19655102471663194
1816,6,mas,0.17366312954787497
1816,7,ded,0.16762336198932729
1816,8,property tax,0.1654779297756044
1816,9,tax,0.1594176410480676
1816,10,rectory year,0.15585644481051641
1816,11,property,0.14921782273639986
1816,12,prof,0.12466355028203133
1816,13,kidlington,0.1155610172608984
1816,14,rectory mich,0.11522156410799415
1816,15,plate money,0.11208871130263427
1817,1,1817,0.3149833619925687
1817,2,mr,0.20089327814657112
1817,3,rectory,0.19999163356109056
1817,4,rectori,0.17385569993930483
1817,5,sr,0.1419447405880762
1817,6,ut,0.13459310642987773
1817,7,ut supra,0.1302386456016047
1817,8,supra,0.12515582596704683
1817,9,sun,0.11290645123234463
1817,10,dec,0.10771101992128816
1817,11,house window,0.10635860471816565
1817,12,poor rates,0.1033038340139344
1817,13,rectori ut,0.10138910042005445
1817,14,st,0.10020309244757662
1817,15,rectory vicarage,0.09986610748337388
1818,1,1818,0.43903735080827366
1818,2,1819,0.271620210588917
1818,3,rectory,0.2076912812959939
1818,4,dno rectori,0.15236856935248813
1818,5,whittenham,0.14208403877342224
1818,6,dno,0.14136406221281383
1818,7,ut supra,0.12679951295463882
1818,8,ann dno,0.12464183623397257
1818,9,rent usual,0.12464183623397257
1818,10,mr,0.1244653528495211
1818,11,rent,0.1244653528495211
1818,12,kidlington,0.12402995432275336
1818,13,mich,0.12402995432275336
1818,14,rectori,0.1231016714801366
1818,15,supra,0.12185091224460294
1819,1,1819,0.4392286550348923
1819,2,1818,0.34421999646959617
1819,3,mich 1819,0.28638149364025306
1819,4,whittenham,0.1949476340933917
1819,5,rectory,0.1831915404935665
1819,6,yrs,0.165109949005538
1819,7,mich,0.14586546119767324
1819,8,kidlington,0.13371000609786715
1819,9,yr,0.1163758704163783
1819,10,rectory vicarage,0.11434619630842566
1819,11,1820,0.10993879881316279
1819,12,long whittenham,0.09874045226828464
1819,13,synodals procurations,0.09221174387106942
1819,14,vicarage,0.08947100668815246
1819,15,mich 1820,0.08605499911739904
1820,1,1820,0.5406962527733566
1820,2,1819,0.5184468968957592
1820,3,yrs,0.25985171877197033
1820,4,mich 1820,0.15236351297903805
1820,5,yr,0.14717694352026217
1820,6,mich 1819,0.11267752760375425
1820,7,kidlington,0.10760838184071082
1820,8,rectory,0.0991061195950323
1820,9,recd,0.09483579752916685
1820,10,mich,0.09326059759528271
1820,11,rectory yr,0.08892736365008042
1820,12,whittenham,0.08218140303975438
1820,13,long whittenham,0.07769936454094255
1820,14,michl,0.07419276975418466
1820,15,mr,0.07404763445459137
1821,1,1821,0.5553093799074613
1821,2,1820,0.5135502826869612
1821,3,yr,0.22327224349488384
1821,4,yrs,0.16068080207198832
1821,5,mich 1820,0.12561980392857008
1821,6,mich,0.12065967268997234
1821,7,mr,0.11599570898182084
1821,8,rectory yr,0.1026456588855529
1821,9,whittenham,0.09756929733237792
1821,10,rectory,0.08913867346153108
1821,11,kidlington,0.08517153366350988
1821,12,yr kidlington,0.06963849277088813
1821,13,mr dalby,0.0658928906619324
1821,14,ut supr,0.0658928906619324
1821,15,dalby,0.06265675760662662
1822,1,1821,0.47859466817149793
1822,2,1822,0.4604115877515611
1822,3,yr,0.31693973679661036
1822,4,yrs,0.28728458882627567
1822,5,rectory yr,0.11968847903048375
1822,6,mr,0.10678035075765624
1822,7,kidlington,0.09931302922654753
1822,8,whittenham,0.094807717837065
1822,9,rectory,0.09354496944844976
1822,10,newington,0.08320072312599712
1822,11,mich,0.08276085768878962
1822,12,dno rectori,0.07625266948586065
1822,13,ad,0.07341247989011362
1822,14,dalby,0.07306000176081814
1822,15,dno,0.06791565788498793
1823,1,1822,0.5019453711452444
1823,2,1823,0.232502155375007
1823,3,mr,0.21827441013357216
1823,4,yrs,0.2170275656414992
1823,5,yr,0.20824407381827673
1823,6,dalby,0.17423602240305483
1823,7,mr dalby,0.15705862879587718
1823,8,mich,0.11842257574726756
1823,9,rectory,0.11685629097847083
1823,10,whittenham,0.11628037484515415
1823,11,carried,0.09340243780487434
1823,12,kidlington,0.08458755410519112
1823,13,419,0.08335938058768867
1823,14,expences,0.0810595965215168
1823,15,ut supr,0.07852931439793859
1824,1,1824,0.6400877019356556
1824,2,1823,0.4782062188352596
1824,3,yrs,0.19299299819157742
1824,4,vid,0.11764258026744186
1824,5,mr,0.10999099832721246
1824,6,yr,0.09993961515813043
1824,7,rectory,0.0994166318369934
1824,8,mich,0.09742776290652909
1824,9,1822,0.09033431234597149
1824,10,kidlington,0.08524929254321295
1824,11,rectory whittenham,0.08001096274195695
1824,12,ad fest,0.07192181977064513
1824,13,fest,0.07079618853002341
1824,14,ad,0.0702184134075566
1824,15,id,0.069755982123463
1825,1,1825,0.6467693118315426
1825,2,1824,0.33611609067273557
1825,3,mr,0.1823087906854206
1825,4,yrs,0.17648752149894345
1825,5,mich 1825,0.13552971313827855
1825,6,rectory,0.1285036584440181
1825,7,yr,0.11995253649936408
