year,n_educational,n_scholarship,n_prize,scholar_income,scholar_expenditure,scholarship_intensity,prize_intensity,scholar_income_share,era
1848,6.0,3.0,3.0,0.0,3.0,0.5,0.5,0.0,early_industrial
1849,2.0,1.0,0.0,1.0,0.0,0.5,0.0,1.0,early_industrial
1850,12.0,7.0,4.0,0.0,7.0,0.5833333333333334,0.3333333333333333,0.0,early_industrial
1851,11.0,4.0,2.0,4.0,0.0,0.36363636363636365,0.18181818181818182,1.0,early_industrial
1852,8.0,5.0,1.0,0.0,5.0,0.625,0.125,0.0,early_industrial
1853,11.0,2.0,1.0,0.0,2.0,0.18181818181818182,0.09090909090909091,0.0,early_industrial
1854,9.0,5.0,0.0,0.0,5.0,0.5555555555555556,0.0,0.0,early_industrial
1855,6.0,5.0,0.0,0.0,5.0,0.8333333333333334,0.0,0.0,early_industrial
1856,5.0,4.0,0.0,0.0,4.0,0.8,0.0,0.0,early_industrial
1857,10.0,1.0,0.0,0.0,1.0,0.1,0.0,0.0,early_industrial
1858,13.0,2.0,3.0,0.0,2.0,0.15384615384615385,0.23076923076923078,0.0,early_industrial
1859,3.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,early_industrial
1860,18.0,0.0,2.0,0.0,0.0,0.0,0.1111111111111111,,late_industrial
1861,19.0,2.0,1.0,0.0,2.0,0.10526315789473684,0.05263157894736842,0.0,late_industrial
1862,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,late_industrial
1863,26.0,16.0,2.0,2.0,14.0,0.6153846153846154,0.07692307692307693,0.125,late_industrial
1864,24.0,17.0,1.0,0.0,17.0,0.7083333333333334,0.041666666666666664,0.0,late_industrial
1865,9.0,1.0,1.0,1.0,0.0,0.1111111111111111,0.1111111111111111,1.0,late_industrial
1866,30.0,13.0,1.0,0.0,13.0,0.43333333333333335,0.03333333333333333,0.0,late_industrial
1867,9.0,2.0,1.0,0.0,2.0,0.2222222222222222,0.1111111111111111,0.0,late_industrial
1868,10.0,5.0,1.0,0.0,5.0,0.5,0.1,0.0,late_industrial
1869,13.0,3.0,2.0,0.0,3.0,0.23076923076923078,0.15384615384615385,0.0,late_industrial
1870,50.0,2.0,6.0,0.0,2.0,0.04,0.12,0.0,late_industrial
1871,34.0,1.0,2.0,0.0,1.0,0.029411764705882353,0.058823529411764705,0.0,late_industrial
1872,19.0,1.0,2.0,0.0,1.0,0.05263157894736842,0.10526315789473684,0.0,late_industrial
1873,55.0,3.0,3.0,0.0,3.0,0.05454545454545454,0.05454545454545454,0.0,late_industrial
1876,37.0,2.0,2.0,0.0,2.0,0.05405405405405406,0.05405405405405406,0.0,late_industrial
1877,28.0,4.0,2.0,0.0,4.0,0.14285714285714285,0.07142857142857142,0.0,late_industrial
1878,25.0,4.0,2.0,0.0,4.0,0.16,0.08,0.0,late_industrial
1879,43.0,4.0,2.0,0.0,4.0,0.09302325581395349,0.046511627906976744,0.0,late_industrial
1880,18.0,2.0,1.0,0.0,2.0,0.1111111111111111,0.05555555555555555,0.0,late_industrial
1881,35.0,5.0,2.0,1.0,4.0,0.14285714285714285,0.05714285714285714,0.2,late_industrial
1882,28.0,3.0,3.0,1.0,2.0,0.10714285714285714,0.10714285714285714,0.3333333333333333,late_industrial
1883,21.0,11.0,1.0,0.0,11.0,0.5238095238095238,0.047619047619047616,0.0,late_industrial
1884,18.0,6.0,1.0,0.0,6.0,0.3333333333333333,0.05555555555555555,0.0,late_industrial
1885,6.0,1.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,late_industrial
1886,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,late_industrial
1889,24.0,13.0,1.0,0.0,13.0,0.5416666666666666,0.041666666666666664,0.0,late_industrial
1891,46.0,23.0,5.0,0.0,23.0,0.5,0.10869565217391304,0.0,late_industrial
1892,36.0,19.0,5.0,8.0,11.0,0.5277777777777778,0.1388888888888889,0.42105263157894735,late_industrial
1893,42.0,17.0,3.0,0.0,17.0,0.40476190476190477,0.07142857142857142,0.0,late_industrial
1894,11.0,4.0,0.0,0.0,4.0,0.36363636363636365,0.0,0.0,late_industrial
1895,10.0,5.0,1.0,0.0,4.0,0.5,0.1,0.0,late_industrial
1896,14.0,5.0,3.0,0.0,2.0,0.35714285714285715,0.21428571428571427,0.0,late_industrial
1897,9.0,2.0,0.0,0.0,2.0,0.2222222222222222,0.0,0.0,late_industrial
1898,9.0,2.0,0.0,0.0,2.0,0.2222222222222222,0.0,0.0,late_industrial
1899,11.0,3.0,1.0,0.0,2.0,0.2727272727272727,0.09090909090909091,0.0,late_industrial
1900,9.0,2.0,0.0,0.0,2.0,0.2222222222222222,0.0,0.0,late_industrial
