year,metric,delta,abs_delta_robust_z,is_change_point
1806,data_rows_per_page,-3.625,0.7841937716262982,False
1749,amount_sum_real,5801.4385,0.7840971918313463,False
1707,data_rows_per_page,3.6189999999999998,0.7813930795847756,False
1754,n_data_rows,37.0,0.7809999999999999,False
1766,n_data_rows,37.0,0.7809999999999999,False
1820,n_data_rows,37.0,0.7809999999999999,False
1810,data_rows_per_page,-3.6149999999999984,0.7795259515570933,False
1876,data_rows_per_page,3.605999999999998,0.7753249134948095,False
1884,data_rows_per_page,3.6000000000000014,0.7725242214532884,False
1878,entry_ratio,-0.01990000000000003,0.7708571428571575,False
1881,data_rows_per_page,-3.5829999999999984,0.7645889273356399,False
1741,amount_sum_real,-5725.638199999999,0.7635052697641833,False
1862,amount_median,2.25,0.7604037466797147,False
1754,entry_ratio,-0.01970000000000005,0.7533376623376787,False
1753,entry_ratio,0.019600000000000062,0.7445779220779394,False
1855,amount_median,-2.222916666666668,0.7407901579756755,False
1841,n_data_rows,36.0,0.7336666666666667,False
1862,amount_sum_real,-5615.2088,0.7335060006488433,False
1735,entry_ratio,-0.019399999999999973,0.7270584415584509,False
1866,amount_sum_real,5590.7853,0.7268711085889521,False
1819,data_rows_per_page,3.5,0.7258460207612463,False
1772,amount_sum_real,5584.2178,0.7250869804499332,False
1843,amount_median,2.1999999999999993,0.7241940444568706,False
1842,amount_median,2.189583333333334,0.7166503564937792,False
1767,amount_sum_real,5519.9737000000005,0.7076344175910131,False
1877,data_rows_per_page,-3.4559999999999995,0.7053076124567478,False
1878,amount_sum,7974.379166666673,0.6952666372268155,False
1706,data_rows_per_page,-3.429000000000002,0.6927044982698978,False
1732,data_rows_per_page,-3.429000000000002,0.6927044982698978,False
1755,entry_ratio,-0.019000000000000017,0.6920194805194934,False
1892,entry_ratio,0.019000000000000017,0.6920194805194934,False
1761,n_data_rows,35.0,0.6863333333333334,False
1732,amount_median,-2.1458333333333335,0.6849668670487906,False
1808,amount_sum,-7899.293749999997,0.6813260934016815,False
1816,data_rows_per_page,3.400000000000002,0.6791678200692057,False
1814,amount_sum_real,5405.7366999999995,0.6766007752282983,False
1804,data_rows_per_page,3.3889999999999993,0.6740332179930798,False
1872,amount_sum,7793.369791666664,0.6616599897981991,False
1768,amount_sum,-7793.001041666668,0.6615915267628497,False
1871,amount_sum,-7773.601041666661,0.657989674869182,False
1789,amount_median,-2.1,0.6517746400111841,False
1735,n_data_rows,-34.0,0.639,False
1830,n_data_rows,-34.0,0.639,False
1878,data_rows_per_page,3.306000000000001,0.6352903114186861,False
1899,entry_ratio,-0.018299999999999983,0.630701298701308,False
1774,amount_median,2.070833333333333,0.6306523137145249,False
1771,entry_ratio,0.018199999999999994,0.6219415584415686,False
1868,entry_ratio,0.018199999999999994,0.6219415584415686,False
1781,amount_sum_real,-5189.8988,0.6179662155241805,False
1772,amount_median,-2.0458333333333334,0.6125474626031036,False
1702,amount_sum_real,-5168.5597,0.612169232079743,False
1762,amount_median,2.0406250000000004,0.6087756186215575,False
1761,amount_median,-2.0401041666666675,0.6083984342234032,False
1769,amount_sum_real,-5118.8378999999995,0.5986617996469024,False
1845,data_rows_per_page,-3.2250000000000014,0.5974809688581326,False
1737,n_data_rows,33.0,0.5916666666666667,False
1866,n_data_rows,33.0,0.5916666666666667,False
1759,amount_median,1.9994791666666671,0.5789780511673426,False
