year,metric,value,delta,abs_delta_robust_z,is_change_point,era
1898,income_amount,23690.199999999997,10775.887499999997,10.468699179921485,True,post_1840
1899,income_amount,4071.5208333333335,-19618.679166666665,19.776280574136237,True,post_1840
1900,income_amount,6678.883333333333,2607.3624999999997,1.8708248689418632,False,post_1840
1700,income_share,0.4950236167341431,0.0,-0.9834619632237106,False,pre_1760
1701,income_share,0.11264114568989259,-0.3823824710442505,6.6992729852519926,True,pre_1760
1702,income_share,0.5778390938135347,0.4651979481236421,8.36318126612845,True,pre_1760
1703,income_share,0.5912723785166241,0.013433284703089354,-0.7135636972822639,False,pre_1760
1704,income_share,0.5435889754343919,-0.04768340308223218,-0.025418707941421915,False,pre_1760
1705,income_share,0.5486475003540575,0.00505852491966563,-0.8818273195594276,False,pre_1760
1706,income_share,0.8392120934493816,0.2905645930953241,4.854490671128967,True,pre_1760
1707,income_share,0.5967768459135011,-0.24243524753588053,3.887487648822511,True,pre_1760
1708,income_share,0.5848289874703692,-0.011947858443131953,-0.7434085178609708,False,pre_1760
1709,income_share,0.6197993751027792,0.034970387632410005,-0.2808455004670594,False,pre_1760
1710,income_share,0.5860674856165449,-0.03373188948623429,-0.3057291018655802,False,pre_1760
1711,income_share,0.583969465648855,-0.002098019967689879,-0.941309059916316,False,pre_1760
1712,income_share,0.6267942583732057,0.04282479272435069,-0.12303671719687888,False,pre_1760
1713,income_share,0.3704128440366972,-0.25638141433650846,4.167690616243726,True,pre_1760
1714,income_share,0.6872005475701574,0.31678770353346014,5.381358983033074,True,pre_1760
1715,income_share,0.7375071797817346,0.050306632211577273,0.027286569198614184,False,pre_1760
1716,income_share,0.6712813413321028,-0.06622583844963181,0.34713136172557274,False,pre_1760
1717,income_share,0.6261030458297752,-0.04517829550232766,-0.07575071584247611,False,pre_1760
1718,income_share,0.5459693041275518,-0.08013374170222332,0.6265655473118115,False,pre_1760
1719,income_share,0.6810274752072834,0.1350581710797315,1.730093729321065,False,pre_1760
1720,income_share,0.6187218162027679,-0.06230565900451546,0.2683680765126211,False,pre_1760
1721,income_share,0.5561802467063859,-0.06254156949638201,0.2731079323319155,False,pre_1760
1722,income_share,0.5561802467063859,0.0,-0.9834619632237106,False,pre_1760
1723,income_share,0.60333780360602,0.04715755689963408,-0.03598388064281764,False,pre_1760
1724,income_share,0.5956754999187124,-0.007662303687307581,-0.8295128343226112,False,pre_1760
1725,income_share,0.505664877757901,-0.09001062216081135,0.8250094102689336,False,pre_1760
1726,income_share,0.6288222827732365,0.12315740501533545,1.490986452497205,False,pre_1760
1727,income_share,0.6714353838817358,0.04261310110849936,-0.12728997329138245,False,pre_1760
1728,income_share,0.6035214588901117,-0.06791392499162419,0.38104798305185594,False,pre_1760
1729,income_share,0.6658975542224274,0.062376095332315695,0.2697832659582967,False,pre_1760
1730,income_share,0.6773724397042783,0.011474885481850938,-0.7529113747502899,False,pre_1760
1731,income_share,0.5167773803440641,-0.16059505936021423,2.243174633715033,False,pre_1760
1732,income_share,0.48035938152946095,-0.036417998814603114,-0.25176045116846807,False,pre_1760
1733,income_share,0.47379717402969057,-0.006562207499770378,-0.8516156974679746,False,pre_1760
1734,income_share,0.6339816749718695,0.16018450094217895,2.234925794540955,False,pre_1760
1735,income_share,0.5404492148678195,-0.09353246010405003,0.895769315594867,False,pre_1760
1736,income_share,0.5639908732628086,0.023541658394989118,-0.5104687289827793,False,pre_1760
1737,income_share,0.4718985606579849,-0.0920923126048237,0.8668342247863094,False,pre_1760
1738,income_share,0.4878500823723229,0.015951521714338,-0.6629678960625315,False,pre_1760
1739,income_share,0.56383571826798,0.07598563589565704,0.5432228214722848,False,pre_1760
1740,income_share,0.5135542168674699,-0.05028150140051002,0.02678164709812495,False,pre_1760
1741,income_share,0.6248153618906943,0.11126114502322437,1.2519697105739893,False,pre_1760
1742,income_share,0.5203651685393259,-0.1044501933513684,1.1151257378394457,False,pre_1760
1743,income_share,0.5622169896757834,0.04185182113645747,-0.14258542402375673,False,pre_1760
1744,income_share,0.5578185490658139,-0.004398440609969523,-0.8950895718305467,False,pre_1760
1745,income_share,0.5433457500846597,-0.014472798981154167,-0.692678031023248,False,pre_1760
1746,income_share,0.5569292696952272,0.013583519610567474,-0.7105452143193521,False,pre_1760
1747,income_share,0.5341787813176616,-0.022750488377565548,-0.5263647231857739,False,pre_1760
1748,income_share,0.5071141354778843,-0.0270646458397773,-0.4396857281532691,False,pre_1760
1749,income_share,0.5017583120204604,-0.005355823457423914,-0.8758540701583013,False,pre_1760
1750,income_share,0.48681261851404933,-0.014945693506411062,-0.6831767500513137,False,pre_1760
1751,income_share,0.5326544943820225,0.04584187586797317,-0.062418221671536246,False,pre_1760
1752,income_share,0.584295236546903,0.05164074216488046,0.054091179607038374,False,pre_1760
1753,income_share,0.5886993212254632,0.004404084678560238,-0.8949761725868651,False,pre_1760
1754,income_share,0.5238697439140058,-0.06482957731145744,0.3190780249338626,False,pre_1760
1755,income_share,0.47671276426641235,-0.04715697964759341,-0.03599547864942816,False,pre_1760
1756,income_share,0.5280993475057882,0.051386583239375894,0.04898468072881182,False,pre_1760
1757,income_share,0.4916347510582544,-0.03646459644753386,-0.25082422294112383,False,pre_1760
1758,income_share,0.46783058519236986,-0.02380416586588452,-0.5051944931754304,False,pre_1760
1759,income_share,0.4821222606689735,0.014291675476603649,-0.6963171201127676,False,pre_1760
1760,income_share,0.4821222606689735,0.0,-0.9834619632237106,False,industrial_1760_1840
1761,income_share,0.4119259766963674,-0.07019628397260613,0.4269045806628071,False,industrial_1760_1840
1762,income_share,0.6028619215759152,0.19093594487954785,2.852776273953687,True,industrial_1760_1840
1763,income_share,0.4597658427801524,-0.1430960787957628,1.8915894023678292,False,industrial_1760_1840
1764,income_share,0.5225856697819314,0.06281982700177902,0.2786986139746989,False,industrial_1760_1840
1765,income_share,0.515950766139161,-0.006634903642770418,-0.8501551043688177,False,industrial_1760_1840
1766,income_share,0.540920716112532,0.024969949973370986,-0.4817718444318709,False,industrial_1760_1840
1767,income_share,0.49157404087486556,-0.04934667523766645,0.007999348808105738,False,industrial_1760_1840
1768,income_share,0.5224709644840936,0.030896923609228022,-0.3626885418773888,False,industrial_1760_1840
1769,income_share,0.39344262295081966,-0.12902834153327392,1.6089438710040498,False,industrial_1760_1840
1770,income_share,0.46258503401360546,0.06914241106278579,0.4057304242915242,False,industrial_1760_1840
1771,income_share,0.4970414201183432,0.034456386104737724,-0.29117269326288386,False,industrial_1760_1840
1772,income_share,0.38439306358381503,-0.11264835653452815,1.2798412244792072,False,industrial_1760_1840
1773,income_share,0.4373259052924791,0.05293284170866408,0.08005172715731342,False,industrial_1760_1840
1774,income_share,0.5631313131313131,0.12580540783883404,1.5441894766321702,False,industrial_1760_1840
1775,income_share,0.5294117647058824,-0.03371954842543079,-0.30597705543645753,False,industrial_1760_1840
1776,income_share,0.5277777777777778,-0.0016339869281045694,-0.9506322980886456,False,industrial_1760_1840
1777,income_share,0.5191740412979351,-0.008603736479842694,-0.8105977972470398,False,industrial_1760_1840
1778,income_share,0.49162011173184356,-0.02755392956609154,-0.429855159368018,False,industrial_1760_1840
1779,income_share,0.41914191419141916,-0.0724781975404244,0.4727522291415719,False,industrial_1760_1840
1780,income_share,0.4676923076923077,0.04855039350088852,-0.007999348808105738,False,industrial_1760_1840
1781,income_share,0.4914772727272727,0.023784965034965022,-0.5055802715672646,False,industrial_1760_1840
1782,income_share,0.5108695652173914,0.019392292490118646,-0.5938367724087887,False,industrial_1760_1840
1783,income_share,0.5380710659898477,0.02720150077245631,-0.4369360723667657,False,industrial_1760_1840
1784,income_share,0.4365781710914454,-0.10149289489840224,1.0557084216752666,False,industrial_1760_1840
1785,income_share,0.4128205128205128,-0.023757658270932625,-0.5061289123817574,False,industrial_1760_1840
1786,income_share,0.4166666666666667,0.003846153846153888,-0.9061859822134796,False,industrial_1760_1840
1787,income_share,0.43434343434343436,0.01767676767676768,-0.6283046767625515,False,industrial_1760_1840
1788,income_share,0.43116883116883115,-0.003174603174603219,-0.9196786138184403,False,industrial_1760_1840
1789,income_share,0.44655581947743467,0.015386988308603522,-0.6743103629752378,False,industrial_1760_1840
1790,income_share,0.47494033412887826,0.028384514651443593,-0.41316724727442605,False,industrial_1760_1840
1791,income_share,0.44074074074074077,-0.034199593388137495,-0.2963321096266907,False,industrial_1760_1840
1792,income_share,0.35514018691588783,-0.08560055382485293,0.7364033974532652,False,industrial_1760_1840
1793,income_share,0.4139941690962099,0.05885398218032206,0.1990178312054678,False,industrial_1760_1840
1794,income_share,0.46236559139784944,0.048371422301639544,-0.011595194306686705,False,industrial_1760_1840
1795,income_share,0.43896103896103894,-0.0234045524368105,-0.5132234283121353,False,industrial_1760_1840
1796,income_share,0.48984771573604063,0.050886676775001694,0.0389406824923651,False,industrial_1760_1840
1797,income_share,0.5340599455040872,0.04421222976804656,-0.09516067195008053,False,industrial_1760_1840
1798,income_share,0.4921875,-0.0418724455040872,-0.14217104428101798,False,industrial_1760_1840
1799,income_share,0.43026706231454004,-0.06192043768545996,0.26062830412524335,False,industrial_1760_1840
1800,income_share,0.42915811088295686,-0.0011089514315831828,-0.9611811826839552,False,industrial_1760_1840
1801,income_share,0.5083798882681564,0.07922177738519953,0.6082425836282838,False,industrial_1760_1840
1802,income_share,0.5168539325842697,0.008474044316113316,-0.8132035404342369,False,industrial_1760_1840
1803,income_share,0.5333333333333333,0.016479400749063622,-0.652361879794111,False,industrial_1760_1840
1804,income_share,0.4174757281553398,-0.11585760517799354,1.344320662158887,False,industrial_1760_1840
1805,income_share,0.5462962962962963,0.1288205681409565,1.60476933889707,False,industrial_1760_1840
1806,income_share,0.45698924731182794,-0.08930704898446834,0.8108733903411923,False,industrial_1760_1840
1807,income_share,0.6267605633802817,0.1697713160684538,2.4275417358890716,False,industrial_1760_1840
1808,income_share,0.632,0.005239436619718263,-0.8781924859940008,False,industrial_1760_1840
1809,income_share,0.37910447761194027,-0.25289552238805973,4.097652929040596,True,industrial_1760_1840
1810,income_share,0.4166666666666667,0.037562189054726414,-0.22877166111882474,False,industrial_1760_1840
1811,income_share,0.48258706467661694,0.06592039800995025,0.3409945272252597,False,industrial_1760_1840
1812,income_share,0.49760765550239233,0.015020590825775393,-0.6816719314557956,False,industrial_1760_1840
1813,income_share,0.46153846153846156,-0.03606919396393077,-0.25876855279284444,False,industrial_1760_1840
1814,income_share,0.4896907216494845,0.028152260111022953,-0.4178336486127482,False,industrial_1760_1840
1815,income_share,0.6056338028169014,0.11594308116741686,1.346038024802119,False,industrial_1760_1840
1816,income_share,0.5637583892617449,-0.04187541355515645,-0.14211141092592108,False,industrial_1760_1840
1817,income_share,0.3230769230769231,-0.24068146618482184,3.852251103483579,True,industrial_1760_1840
1818,income_share,1.0,0.676923076923077,12.617110694576803,True,industrial_1760_1840
1819,income_share,0.47651006711409394,-0.5234899328859061,9.534369546088158,True,industrial_1760_1840
1820,income_share,0.532051282051282,0.05554121493718811,0.1324585231768175,False,industrial_1760_1840
1821,income_share,0.49760765550239233,-0.034443626548889716,-0.2914290551336904,False,industrial_1760_1840
1822,income_share,0.43548387096774194,-0.062123784534650395,0.26471389921194116,False,industrial_1760_1840
1823,income_share,0.37448559670781895,-0.06099827425992299,0.24210042245161117,False,industrial_1760_1840
1824,income_share,0.38626609442060084,0.01178049771278189,-0.7467710886622723,False,industrial_1760_1840
1825,income_share,0.4207920792079208,0.03452598478731994,-0.2897743335797582,False,industrial_1760_1840
1826,income_share,0.44086021505376344,0.02006813584584266,-0.5802578932448557,False,industrial_1760_1840
